Sat May 09 00:48:10 +0000 2020,"b'RT @RadioAN24: #Escndalo El presidente de Tanzania, John Magufuli, desconfiaba de la OMS y decidi engaarlos enviando muestras de una pap'",73Evasio,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Maracay-Venezuela,75,304,0,0,
Sat May 09 00:48:11 +0000 2020,b'RT @coldnoodlefan: KCNA Update:\nChairman Kim Jong Un Sends Verbal Message to President Xi Jinping.\nIn his message Chairman Kim extended his',SimonGunson,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Wellington City, New Zealand",1044,616,0,0,
Sat May 09 00:48:10 +0000 2020,"b'@folha @Padig Basta escolher os participantes, fazer o exame que detecta o covid19. E manter todos separados por no https://t.co/XLd5Xf71E1'",barisque,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,258,926,0,0,
Sat May 09 00:48:11 +0000 2020,"b'RT @SecPrensaSV: El Centro de Recoleccin de Plasma anti #COVID19 fue inaugurado en el @hospitalbloom, el primero de su tipo en el pas. ht'",Alexander010316,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",El Salvador,9,89,0,0,
Sat May 09 00:48:11 +0000 2020,"b""RT @CountyofLA: To help ease hunger during the #COVID19 pandemic, celebrity @ChefJoseAndres' @WCKitchen has teamed up with LA County to pro""",wombat63321319,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,28,58,0,0,
Sat May 09 00:48:11 +0000 2020,b'',Airoenna,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ohio, USA",2475,4236,0,0,
Sat May 09 00:48:11 +0000 2020,b'RT @petracostal:  isso aqui que o discurso do presidente produz.  assim que o Brasil est tendo cada dia mais mortes por COVID19 e subind',profa_analucia,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rio de Janeiro, Brasil",2678,3616,0,0,
Sat May 09 00:48:11 +0000 2020,"b'RT @BusyDrT: Keep your eyes on whats happening in #Africa ..... #Tanzania, &amp; #Nigeria as the fallacies  of #Covid19 testing take on a new t'",wally5757,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,147,560,0,0,
Sat May 09 00:48:11 +0000 2020,"b'RT @Mincyt_VE: OMS reconoce a Venezuela.\n\nMi agradecimiento a Carlos Alvarado, Mtro. de Salud , por compartir la estrategia de ataque de'",garridoalvarado,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Barquisimeto,34,132,0,0,
Sat May 09 00:48:11 +0000 2020,b'RT @safeagain1: @JoeBiden Canada has free healthcare\nIs that one of the factors the death rate is lower?\n#M4ASavesLives\n#M4ASavesLives \n#CO',Nfranzhovis,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Eugene, Oregon",3738,4999,0,0,
